created_at;favorite_count;full_text;quote_count;reply_count;retweet_count;author;day;month;reply_dummy
Thu Mar 25 01:49:43 +0000 2021;1309;Gracias Cuzco por su recibimiento. Toda mi gratitud! https://t.co/WANGTfWIjr;13;63;137;HDS;25;3;0
Thu Mar 25 01:27:06 +0000 2021;397;"Entevista en RTV El Diario Cuzco
https://t.co/bIRPzYUSyS
((🔴)) #EnVivo | DESAFIOS CUSCO

✅ Transmisiones oficiales y lectura de comentarios por ""RTV El Diario""
✅ Canal 45 en señal abierta
✅ Canal 36 en #MovistarTV
✅ Canal 13.5 en #InpecableTV https://t.co/nNC7EZtYJp";1;12;49;HDS;25;3;0
Wed Mar 24 16:28:28 +0000 2021;1252;"¡Querido Cusco, nos vemos hoy!

#DeSoto #HernandoDeSoto #HernandoPresidente @HDeSotoPeru #AvanzaPaís https://t.co/CDNyObaewg";8;54;112;HDS;24;3;0
Wed Mar 24 00:44:33 +0000 2021;2378;"Hemos diseñado un proyecto especial llamado JUVENTUS. Estamos ahí para ustedes.

#AvanzaPaís #HernandoDeSoto #Presidente2021 🚈 https://t.co/Ef9hmTLd7H";80;152;447;HDS;24;3;0
Tue Mar 23 19:23:59 +0000 2021;1602;"¡Muchas gracias @melcochita1 por tu apoyo a mi campaña!

#AvanzaPaís #DeSoto #HernandoDeSoto #Presidente2021 🚈 https://t.co/mzJ87Cbbks";36;104;233;HDS;23;3;0
Tue Mar 23 19:03:32 +0000 2021;1519;"@carlosfniezen: Ojo con Hernando De Soto (línea amarilla). Parece que se está colando en la carrera. Este gráfico es sin las búsquedas en Google de los nombres de distintos candidatos, un buen predicador de preferencias electorales.
#AvanzaPais #HernandoDeSoto #Presidente2021 🚝 https://t.co/Pc0zvVCJEP";26;100;222;HDS;23;3;0
Mon Mar 22 00:34:46 +0000 2021;1473;Hoy a las 8 PM en Punto Final, con Mónica Delta por Latina Televisión. https://t.co/TEO1eJ8weQ;8;73;109;HDS;22;3;0
Sat Mar 20 00:33:50 +0000 2021;620;Julio Rau, reconoció la intervención mediadora y señaló que la problemática del transporte se arrastra desde hace muchos años y comprende numerosas desventajas para los transportistas como el exceso de peajes, la falta de reglamentos claros, las multas onerosas. https://t.co/OZkyIhft5N;5;26;60;HDS;20;3;1
Sat Mar 20 00:33:47 +0000 2021;675;Una medida de esta naturaleza beneficia no solo a cuatro millones de transportistas, sino a todos los peruanos, con un precio justo de combustible.;1;5;50;HDS;20;3;1
Sat Mar 20 00:33:46 +0000 2021;349;La participación  se dio en respuesta a un pedido expreso de los gremios de transportistas que se encuentran acatando un paro nacional. Después de 48 horas de trabajo incesante, se presentó un documento con lineamientos para poner fin a la paralización en forma inmediata.;1;5;24;HDS;20;3;1
Sat Mar 20 00:33:46 +0000 2021;2431;La aceptación para actuar como mediador entre los gremios de transporte y el gobierno dio un resultado inmediato. El Ejecutivo rebajó el precio del galón de diesel hasta un equivalente a S/ 2.48, cuatro veces de lo que inicialmente ofrecieron: S/ 0.60.;88;201;442;HDS;20;3;0
Fri Mar 19 17:17:41 +0000 2021;1028;"CONFERENCIA DE PRENSA 
""Una propuesta para levantar el paro pacíficamente, sin heridos y sin muertos"".

#AvanzaPais #HernandoDeSoto #Presidente2021 🚈 https://t.co/4BovSfoWTf";19;64;198;HDS;19;3;0
Fri Mar 19 16:12:29 +0000 2021;901;"""Una propuesta para levantar el paro pacíficamente, sin heridos y sin muertos""
- Hernando de Soto

#HernandoDeSoto #ParoDeTransportistas https://t.co/bSA9AanVT3";8;27;161;HDS;19;3;0
Fri Mar 19 02:04:08 +0000 2021;960;Don Luis Bedoya Reyes.  Un hombre apasionado por la democracia y por construir consensos, a pesar de las diferencias ideológicas o partidarias.  Para él, el Perú siempre primero. Mi más sentido pésame a la familia de un gran hombre. Vuela alto querido tucán. https://t.co/XAgu8T9D1r;5;13;100;HDS;19;3;0
Fri Mar 19 00:59:26 +0000 2021;3032;Habiendo sido convocado por los ocho  gremios que agrupan a 4 millones de empresarios y trabajadores  transportistas como mediador en el paro, presentaré mañana a mediodia una propuesta. De ser aceptada por el gobierno, se levantará el paro inmediatamente sin heridos ni muertos.;88;227;468;HDS;19;3;0
Thu Mar 18 17:52:14 +0000 2021;994;"En sesión de trabajo con gremios de transportistas. Frente al paro Nacional.
#HernandoSiSabe 
#HernandoPresidente 
#HernandoDeSoto https://t.co/xRiJLDGDdF";27;59;162;HDS;18;3;0
Thu Mar 18 17:24:35 +0000 2021;456;"Múltiples dirigentes de Gremios de Transportistas en casa de Hernando de Soto, para coordinar las soluciones al paro nacional.
#HernandoPresidente
#HernandoDeSoto 
#AvanzaPaís https://t.co/FqS3OIc98T";9;31;69;HDS;18;3;0
Thu Mar 18 16:27:05 +0000 2021;1196;Hernando de Soto que se está reuniendo con los gremios de transportistas saluda los distintos gestos del presidente de la República y espera que está tarde, cuando tengamos la conferencia pública, se haya hecho todo lo necesario para resolver el paro.;17;59;156;HDS;18;3;0
Thu Mar 18 01:37:16 +0000 2021;2726;"He sido invitado para intermediar el paro de transportistas y darle solución.

#HernandoDeSoto #HernandoSiSabe https://t.co/ysKM4aWWXh";148;327;491;HDS;18;3;0
Sat Mar 13 16:53:43 +0000 2021;1887;"Mensaje a los jóvenes del Perú.
#HernandoPresidente 
#Elecciones2021 https://t.co/GTcI85J3lF";106;151;467;HDS;13;3;0
Sat Mar 13 14:22:33 +0000 2021;2326;"Queridos jóvenes ¡Gracias por confiar en mí, no los voy a defraudar!

#AvanzaPaís #HernandoDeSoto #Presidente2021 🚈

https://t.co/QGvGHjtyQG";60;165;332;HDS;13;3;0
Sat Mar 13 03:51:26 +0000 2021;1235;"Las clases populares del Perú, tienen un capital potencial que hasta ahora no se aprovecha. En mi gobierno accederán a créditos baratos y formar capital.
#HernandoPresidente https://t.co/RXgVHhPzMw";25;74;277;HDS;13;3;0
Fri Mar 12 22:11:14 +0000 2021;1452;Los jóvenes del Perú. #HernandoPresidente https://t.co/avs7SzaXDM;13;72;187;HDS;12;3;0
Thu Mar 11 21:47:59 +0000 2021;3513;"La democracia se pone en riesgo cuando se politíza la justicia. Ayer fue con RLA, Forsyth y Ciro Galvez. Hoy con Keiko.
A pesar de ser mis rivales primero está la democracia. Si al Voto no al Veto.
#HernandoPresidente";56;315;636;HDS;11;3;0
Wed Mar 10 02:02:33 +0000 2021;1746;#HernandoPresidente https://t.co/NmIOn2Pmts;22;106;173;HDS;10;3;0
Tue Mar 09 16:49:04 +0000 2021;429;@luissolarif @luissolarif se une a #HernandoPresidente para vencer a la pandemia, la creciente pobreza y la Venezuela que se viene con @yonhy_lescano.;11;49;70;HDS;09;3;1
Tue Mar 09 04:18:57 +0000 2021;1213;"Suuuuuper!!!!
#HernandoPresidente https://t.co/BeNwltFpSS";41;129;166;HDS;09;3;0
Mon Mar 08 16:47:24 +0000 2021;956;"¡Feliz día de la MUJER! 
Son nuestra prioridad.
Dia de la Mujer #InternationalWomensDay Dia Internacional de la Mujer #FelizDiaDeLaMujer 
#HernandoPresidente https://t.co/oDhwz1j24A";6;33;118;HDS;08;3;0
